,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
215,216,Preparation of Consolidated Financial Statements (Basic),https://www.udemy.com/preparation-of-consolidated-financial-statements-basic/,FALSE,Free,965,0,18,Intermediate Level,1.5 hours,2017-06-28T20:37:13Z,Business Finance
258,259,Fundamentals of Accounting for Business Owners,https://www.udemy.com/fundamentals-of-accounting-for-business-owners/,TRUE,20,217,0,47,Beginner Level,2.5 hours,2017-02-06T16:35:44Z,Business Finance
381,382,Covered Calls - Powerful Income Strategy for Stock Traders,https://www.udemy.com/covered-calls-income-strategy-for-stock-traders/,TRUE,60,22,0,8,Beginner Level,1 hour,2017-07-03T15:13:33Z,Business Finance
407,408,Corporate Internal Controls and Fraud Controls,https://www.udemy.com/corporate-internal-controls-fraud-controls/,TRUE,50,1,0,12,Intermediate Level,2 hours,2017-06-29T17:27:52Z,Business Finance
410,411,Trading Options Basics,https://www.udemy.com/trading-options-basics/,TRUE,200,8,0,8,Beginner Level,1.5 hours,2016-07-01T03:13:22Z,Business Finance
411,412,Practical Trading on Financial Futures & Options Markets,https://www.udemy.com/getting-started-with-option-spreads/,TRUE,50,43,0,25,Beginner Level,4 hours,2012-11-12T15:01:43Z,Business Finance
413,414,The Visual Learning Basic Accounting Course,https://www.udemy.com/the-visual-learning-basic-accounting-course/,TRUE,20,9,0,6,Beginner Level,1 hour,2016-05-03T21:14:25Z,Business Finance
415,416,The 7 fundamentals to Successful Cashflow Management,https://www.udemy.com/successful-cashflow-management/,TRUE,25,7,0,12,All Levels,1 hour,2016-07-11T17:22:40Z,Business Finance
417,418,Coaching Course:Investment Analysis for your clients,https://www.udemy.com/coaching-courseinvestment-analysis-for-your-clientsjoanne/,TRUE,200,1,0,6,Intermediate Level,34 mins,2017-06-23T16:35:04Z,Business Finance
455,456,Essentials of money value: Get a financial Life !,https://www.udemy.com/essentials-of-money-value/,TRUE,20,0,0,20,All Levels,37 mins,2016-05-16T18:28:30Z,Business Finance
456,457,Introduction to Forex Trading Business For Beginners,https://www.udemy.com/introduction-to-forex-trading-business-for-beginners/,TRUE,20,0,0,27,Beginner Level,1.5 hours,2017-04-23T16:19:01Z,Business Finance
